Name,Address,Description
"Apple Store Fifth Avenue","767 5th Ave, New York, NY 10153","Iconic glass cube Apple Store open 24/7 in Manhattan"
"Yankee Stadium","1 E 161st St, The Bronx, NY 10451","Home of the New York Yankees baseball team"
"Coney Island","Brooklyn, NY 11224","Famous beachfront amusement area with rides and boardwalk"
"Wall Street","Wall St, New York, NY 10005","Historic financial district and home to the NYSE"
"Columbia University","116th St & Broadway, New York, NY 10027","Ivy League university in Morningside Heights"
"JFK Airport","Queens, NY 11430","John F. Kennedy International Airport"
"Lincoln Center","10 Lincoln Center Plaza, New York, NY 10023","Performing arts complex including the Met Opera"
"Chelsea Market","75 9th Ave, New York, NY 10011","Indoor food hall and shopping mall in former biscuit factory"
"Rockefeller Center","45 Rockefeller Plaza, New York, NY 10111","Complex of commercial buildings with famous ice rink and Christmas tree"
"Bryant Park","New York, NY 10018","Public park behind the New York Public Library"